id	branches	solutions	difficulty ratio
a19574cb60e2df38	282	29	0.10283687943262411
c4795fb802ae61d3	924	248	0.2683982683982684
29dac03f1e4b6578	957	180	0.18808777429467086
c483e6a1d0592b7f	835	255	0.30538922155688625
ca69d51b74f3802e	812	44	0.054187192118226604
d1f43059c2b867ae	301	35	0.11627906976744186
963012dfb84eac57	1023	177	0.17302052785923755
b8e945307cf2a61d	537	146	0.2718808193668529
4d2067fe5c189ba3	1182	417	0.35279187817258884
06d813b7ec2a45f9	262	59	0.22519083969465647
1d2f3b0c9a8456e7	1907	609	0.31934976402726795
fe8a546203b917dc	2290	670	0.2925764192139738
239874cfb5e0a6d1	1318	426	0.3232169954476479
dfb56e47219380ac	142	14	0.09859154929577464
a8961bc475302def	330	39	0.11818181818181818
7ec468230afd19b5	653	35	0.05359877488514548
3f8012c6954adb7e	395	128	0.3240506329113924
e1fbc8a96d340275	1251	301	0.24060751398880895
cbd05fe2476a8913	4589	1246	0.2715188494225321
5d97a304e18c26bf	3582	1087	0.30346175321049695
51fbd4362089c7ae	1024	144	0.140625
3d568194e702cfba	1766	215	0.1217440543601359
b72e054cfd163a89	1109	124	0.11181244364292155
1bf74de68a59c230	338	52	0.15384615384615385
147a308dfbec5269	1291	112	0.08675445391169635
da2e673140c89bf5	262	28	0.10687022900763359
f2034cba861957ed	1063	130	0.12229539040451552
476b3afe8c50d129	95	30	0.3157894736842105
698425d1baf7ec30	1464	207	0.1413934426229508
0c4ae69d573218bf	1514	250	0.16512549537648613
8d3feba1c5276904	446	38	0.08520179372197309
96138a5ec0274bfd	1416	405	0.2860169491525424
92dcea0576841bf3	272	16	0.058823529411764705
6ea925407fc1d8b3	3271	568	0.17364720269030878
5fc4d2b8196e307a	1171	158	0.1349274124679761
5b9d6e31fac02847	1494	73	0.048862115127175365
fd12375a0ec8946b	1688	194	0.11492890995260663
5802cea74693bfd1	2004	369	0.18413173652694612
3d04126e9a8bf5c7	721	162	0.22468793342579751
1b8c9f24d70e536a	2687	1564	0.582061778935616
840b3a69dc5e12f7	134	6	0.04477611940298507
516a8b3d024e97fc	1187	196	0.16512215669755687
0cd795fb1846ea32	1114	297	0.2666068222621185
a813ce46205bfd97	1654	487	0.29443772672309554
2751e6b9a348dcf0	1849	511	0.27636560302866414
5c4f1a8693e72db0	214	19	0.08878504672897196
3dc8bfe9a7516402	2726	887	0.32538517975055026
